Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
7/29/2020,446,3,19,56,131,94,68,51,28,12,6,0,233,208,5,181,7,99,90,18,51,0,0,0,1,0,1,0,1,0,2,1,0,1,0,2,0,0,0,1,3,1,8,2,2,1,1,0,7,12,0,8,0,8,2,1,0
4/11/2021,358,5,52,69,80,75,61,30,28,11,4,0,191,166,1,65,14,120,81,18,60,0,2,0,0,1,0,2,0,0,3,2,0,3,0,1,1,0,0,0,1,9,6,7,14,11,4,0,24,28,0,9,4,24,9,5,1
7/25/2020,156,8,22,29,34,33,25,16,7,9,3,0,79,77,0,59,7,32,32,8,18,0,0,0,1,1,3,1,2,0,4,4,0,2,0,3,3,0,0,0,0,3,5,2,6,3,3,0,12,10,0,3,0,11,5,1,2
9/14/2020,430,3,20,62,108,91,66,59,27,9,8,0,226,203,1,191,9,63,89,8,70,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,2,3,2,3,3,3,2,2,0,8,12,0,7,0,8,5,0,0
3/12/2021,347,8,16,52,92,78,49,46,18,6,6,0,199,148,0,86,14,64,99,21,63,0,0,1,1,2,1,1,2,0,3,5,0,2,0,5,1,0,0,1,3,0,3,3,3,2,1,0,10,6,0,4,0,8,3,1,0
9/3/2020,341,3,23,36,103,60,51,49,23,13,6,0,181,159,1,138,5,57,87,5,49,0,0,0,0,1,0,0,2,0,1,2,0,3,0,0,0,0,0,0,4,4,2,4,4,3,2,0,12,11,0,9,0,7,4,2,1
3/23/2020,290,3,107,4,46,55,53,56,30,35,11,0,141,149,0,37,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,5,16,13,18,18,26,10,0,51,55,1,17,5,67,12,5,1
5/19/2020,891,27,99,78,211,171,148,131,85,39,28,0,450,435,6,429,13,142,73,40,194,0,1,1,3,6,5,6,5,0,8,19,0,11,2,11,3,0,0,5,5,13,15,21,17,12,11,0,50,49,0,42,2,35,12,3,5
5/6/2020,974,43,138,55,190,161,213,170,94,53,38,0,474,468,32,470,13,146,89,39,217,0,0,1,3,5,11,9,14,0,14,29,0,13,5,13,12,0,0,2,2,10,22,24,32,25,21,0,62,76,0,46,1,50,25,14,2
2/21/2021,157,8,24,16,42,31,27,22,10,5,4,0,86,71,0,26,3,31,57,10,30,0,1,0,1,0,1,3,2,0,3,5,0,2,0,1,3,2,0,1,5,4,2,4,1,5,2,0,13,11,0,2,1,11,6,1,3
